domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
piege-lingerie.com,Pure Bodywear,0.98989898989899,PIEGE LINGERIE,PIEGE LINGERIE|S.D.L,France,France,Body Fashion Trade Fair|Salon,"bodywear:shapewear,slip,boxer,string,tanga",0.98989898989899,,http
huit.com,Pure Bodywear,0.989010989010989,HUIT,HUIT,France,France,HS fairs,"bodywear:lingerie,underwear,bra,bras,nightwear",0.989010989010989,,http
valnue.com,Pure Bodywear,0.9882352941176472,VALNUE LINGERIE,VALNUE LINGERIE,,,HS fairs,"bodywear:lingerie,bra,bras,sleepwear,swimwear",0.9882352941176472,,http
triumph-jo.com,Pure Bodywear,0.9878048780487804,triaction,triaction,Germany,Germany,FU,"bodywear:bra,bras,briefs,shapewear,swimwear",0.9878048780487804,,http
playfulpromises.com,Pure Bodywear,0.9868098159509202,playful-promises,PLAYFUL PROMISES|playful-promises,United Kingdom,United Kingdom,FU|HS fairs,"bodywear:lingerie,underwear,bra,bras,briefs;generalist:outerwear",0.9868098159509202,,http
livera.nl,Pure Bodywear,0.9864864864864864,Livera,Livera,France,France,FU,"bodywear:lingerie,shapewear,loungewear,boxers,bh",0.9864864864864864,,http
boeckmann-mode.de,Pure Bodywear,0.9859154929577464,Böckmann Modehaus GmbH,Böckmann Modehaus GmbH,Germany,Germany,Dealfront,bodywear:lingerie,0.9859154929577464,,http
pourmoi.co.uk,Pure Bodywear,0.9857615894039736,pour-moi,Pour Moi|pour-moi,United Kingdom,United Kingdom,FU|e-com retailers,"bodywear:lingerie,bras,nightwear,shapewear,hosiery;generalist:outerwear",0.9857615894039736,,http
olly-lingerie.com,Pure Bodywear,0.9830508474576272,Olly Lingerie,Olly Lingerie,France,France,FU,"bodywear:lingerie,maillots",0.9830508474576272,,http
hom.com,Pure Bodywear,0.9803921568627452,SKINY BODYWEAR,HOM|HOM S.A.|SKINY BODYWEAR,France,France|Germany,HS segment|Supreme Body & Beach|e-com retailers,"bodywear:pyjamas,loungewear,boxers,slips,sous-vêtements",0.9803921568627452,,http
fashionshopping.dk,Pure Bodywear,0.9803921568627452,FASHION SHOPPING ApS,FASHION SHOPPING ApS,Denmark,Denmark,Dealfront,bodywear:bh,0.9803921568627452,,http
femilet.dk,Pure Bodywear,0.979591836734694,Femilet,Femilet,France,France,FU,bodywear:bh,0.979591836734694,,http
